FILIAL;SECAO;DATA;CMV;VALOR ESTOQUE;;VL_ESTQ;CMV;TOTAL
12;422;05/04/2021;R$ 23,46;R$ 7.882,45;;;;
12;432;05/04/2021;R$ 35,75;R$ 1.093,98;;;;
14;416;05/04/2021;R$ 3.029,83;R$ 106.208,50;;;;
14;423;05/04/2021;R$ 2.585,89;R$ 101.060,82;;;;
14;424;05/04/2021;R$ 1.626,87;R$ 97.827,46;;;;
14;425;05/04/2021;R$ 521,21;R$ 48.589,40;;;;
14;434;05/04/2021;R$ 1.188,40;R$ 8.080,04;;;;
14;441;05/04/2021;R$ 84,95;R$ 28.783,19;;;;
14;445;05/04/2021;R$ 406,30;R$ 23.129,19;;;;
15;422;05/04/2021;R$ 98;R$ 6.236,64;;;;
15;432;05/04/2021;R$ 410,30;R$ 986,72;;;;
15;435;05/04/2021;R$ 15.142,61;R$ 166.957,41;;;;
15;440;05/04/2021;R$ 590,43;R$ 12.383,63;;;;
15;441;05/04/2021;R$ 454,09;R$ 18.344,20;;;;
16;413;05/04/2021;R$ 9.208,21;R$ 373.254,72;;;;
16;420;05/04/2021;R$ 388,49;R$ 132.845,07;;;;
16;422;05/04/2021;R$ 413,47;R$ 10.208,97;;;;
17;415;05/04/2021;R$ 1.503,08;R$ 100.187,75;;;;
17;417;05/04/2021;R$ 0;R$ 1.199,52;;;;
17;441;05/04/2021;R$ 197,24;R$ 17.926,57;;;;
18;413;05/04/2021;R$ 6.161,79;R$ 233.960,58;;;;
18;422;05/04/2021;R$ 263,67;R$ 9.041,16;;;;
1;428;06/04/2021;R$ 2.995,68;R$ 20.623,90;;;;
1;434;06/04/2021;R$ 1.977,60;R$ 12.370,39;;;;
1;441;06/04/2021;R$ 325,66;R$ 24.373,08;;;;
2;415;06/04/2021;R$ 1.857,65;R$ 99.029,64;;;;
2;434;06/04/2021;R$ 1.761,20;R$ 7.683,80;;;;
2;441;06/04/2021;R$ 334,84;R$ 24.475,27;;;;
3;414;06/04/2021;R$ 7.682,53;R$ 189.366,28;;;;
3;427;06/04/2021;R$ 152,60;R$ 20.583,81;;;;
3;444;06/04/2021;R$ 38,67;R$ 4.458,96;;;;
4;411;06/04/2021;R$ 8.503,80;R$ 292.468,76;;;;
4;423;06/04/2021;R$ 1.496,60;R$ 118.167,15;;;;
4;442;06/04/2021;R$ 0;R$ 450,00;;;;
6;422;06/04/2021;R$ 0;R$ 0,00;;;;
7;427;06/04/2021;R$ 27,67;R$ 14.241,54;;;;
7;440;06/04/2021;R$ 1.189,35;R$ 12.798,84;;;;
8;412;06/04/2021;R$ 4.576,91;R$ 342.800,56;;;;
8;422;06/04/2021;R$ 105,31;R$ 6.517,64;;;;
8;430;06/04/2021;R$ 0;R$ 0,00;;;;
8;435;06/04/2021;R$ 19.168,89;R$ 203.844,34;;;;
8;443;06/04/2021;R$ 2.279,25;R$ 66.609,27;;;;
9;413;06/04/2021;R$ 8.829,57;R$ 409.306,84;;;;
9;415;06/04/2021;R$ 2.267,83;R$ 100.632,13;;;;
9;417;06/04/2021;R$ 0;R$ 0,00;;;;
9;425;06/04/2021;R$ 1.035,15;R$ 53.742,22;;;;
9;426;06/04/2021;R$ 1.238,78;R$ 30.156,13;;;;
9;435;06/04/2021;R$ 14.045,07;R$ 158.360,31;;;;
10;417;06/04/2021;R$ 0;R$ 0,00;;;;
10;426;06/04/2021;R$ 1.107,99;R$ 36.257,43;;;;
10;430;06/04/2021;R$ 0;R$ 0,00;;;;
10;434;06/04/2021;R$ 1.171,27;R$ 9.254,47;;;;
10;443;06/04/2021;R$ 1.519,97;R$ 74.059,35;;;;
11;444;06/04/2021;R$ 31,13;R$ 2.859,39;;;;
12;411;06/04/2021;R$ 5.166,70;R$ 246.170,41;;;;
12;416;06/04/2021;R$ 2.472,84;R$ 116.571,82;;;;
12;423;06/04/2021;R$ 955,12;R$ 104.173,98;;;;
12;434;06/04/2021;R$ 824,46;R$ 7.036,04;;;;
12;441;06/04/2021;R$ 86,83;R$ 19.001,20;;;;
12;442;06/04/2021;R$ 0;R$ 0,00;;;;
14;411;06/04/2021;R$ 9.079,70;R$ 306.605,49;;;;
14;440;06/04/2021;R$ 904,74;R$ 21.259,30;;;;
15;424;06/04/2021;R$ 3.349,66;R$ 113.437,57;;;;
15;436;06/04/2021;R$ 25.766,36;R$ 509.837,81;;;;
16;415;06/04/2021;R$ 2.197,56;R$ 94.344,78;;;;
16;420;06/04/2021;R$ 1.078,05;R$ 136.095,94;;;;
16;422;06/04/2021;R$ 34,59;R$ 10.174,40;;;;
16;428;06/04/2021;R$ 3.153,21;R$ 14.065,09;;;;
16;435;06/04/2021;R$ 12.902,37;R$ 87.670,02;;;;
17;421;06/04/2021;R$ 2.876,88;R$ 471.268,10;;;;
17;425;06/04/2021;R$ 860,31;R$ 48.226,95;;;;
18;428;06/04/2021;R$ 3.358,81;R$ 41.419,26;;;;
18;434;06/04/2021;R$ 1.415,50;R$ 11.117,61;;;;
18;435;06/04/2021;R$ 10.829,39;R$ 150.173,51;;;;
1;414;07/04/2021;R$ 6.088,46;R$ 144.027,40;;;;
1;420;07/04/2021;R$ 1.129,89;R$ 173.353,92;;;;
1;421;07/04/2021;R$ 4.407,12;R$ 547.081,20;;;;
1;435;07/04/2021;R$ 16.002,53;R$ 153.647,92;;;;
2;417;07/04/2021;R$ 0;R$ 0,00;;;;
2;420;07/04/2021;R$ 588,91;R$ 156.948,46;;;;
2;442;07/04/2021;R$ 0;R$ 0,00;;;;
2;443;07/04/2021;R$ 1.845,15;R$ 64.127,17;;;;
2;445;07/04/2021;R$ 741,07;R$ 23.338,40;;;;
3;421;07/04/2021;R$ 7.070,02;R$ 574.290,42;;;;
3;440;07/04/2021;R$ 1.801,07;R$ 14.570,57;;;;
3;444;07/04/2021;R$ 83,03;R$ 4.375,93;;;;
4;414;07/04/2021;R$ 4.526,88;R$ 129.544,33;;;;
4;417;07/04/2021;R$ 0;R$ 0,00;;;;
4;433;07/04/2021;R$ 15.279,30;R$ 85.177,15;;;;
7;415;07/04/2021;R$ 1.668,33;R$ 112.102,82;;;;
7;421;07/04/2021;R$ 3.817,81;R$ 457.568,13;;;;
8;411;07/04/2021;R$ 13.669,69;R$ 363.816,66;;;;
8;425;07/04/2021;R$ 1.522,56;R$ 54.888,24;;;;
8;434;07/04/2021;R$ 2.229,76;R$ 8.625,53;;;;
8;436;07/04/2021;R$ 27.584,63;R$ 493.355,51;;;;
9;423;07/04/2021;R$ 1.776,03;R$ 121.083,35;;;;
9;431;07/04/2021;R$ 1.727,16;R$ 88.879,10;;;;
9;440;07/04/2021;R$ 752,29;R$ 8.714,59;;;;
10;421;07/04/2021;R$ 3.638,89;R$ 577.576,53;;;;
10;422;07/04/2021;R$ 72,51;R$ 7.699,45;;;;
10;430;07/04/2021;R$ 0;R$ 0,00;;;;
10;433;07/04/2021;R$ 14.317,92;R$ 97.982,38;;;;
11;413;07/04/2021;R$ 9.981,09;R$ 359.534,77;;;;
11;430;07/04/2021;R$ 0;R$ 0,00;;;;
14;413;07/04/2021;R$ 8.626,59;R$ 368.206,42;;;;
14;430;07/04/2021;R$ 0;R$ 0,00;;;;
14;433;07/04/2021;R$ 14.352,97;R$ 112.823,56;;;;
14;442;07/04/2021;R$ 0;R$ 0,00;;;;
15;411;07/04/2021;R$ 11.382,60;R$ 265.611,04;;;;
15;416;07/04/2021;R$ 5.021,14;R$ 95.959,98;;;;
15;426;07/04/2021;R$ 1.197,28;R$ 34.463,91;;;;
15;427;07/04/2021;R$ 149,87;R$ 13.861,83;;;;
15;433;07/04/2021;R$ 20.078,38;R$ 145.098,63;;;;
16;426;07/04/2021;R$ 1.122,32;R$ 34.372,84;;;;
16;432;07/04/2021;R$ 509,83;R$ 8.083,24;;;;
17;412;07/04/2021;R$ 3.361,34;R$ 322.531,83;;;;
17;426;07/04/2021;R$ 1.076,47;R$ 25.990,29;;;;
17;430;07/04/2021;R$ 0;R$ 0,00;;;;
17;433;07/04/2021;R$ 16.027,03;R$ 97.917,56;;;;
17;441;07/04/2021;R$ 124,21;R$ 17.635,40;;;;
17;444;07/04/2021;R$ 59,41;R$ 2.453,45;;;;
18;420;07/04/2021;R$ 840;R$ 100.539,21;;;;
18;423;07/04/2021;R$ 1.161,01;R$ 62.689,74;;;;
18;428;07/04/2021;R$ 2.927,92;R$ 47.359,46;;;;
18;432;07/04/2021;R$ 41;R$ 122,62;;;;
18;436;07/04/2021;R$ 15.567,20;R$ 304.575,85;;;;
18;442;07/04/2021;R$ 0;R$ 0,00;;;;
18;443;07/04/2021;R$ 1.103,39;R$ 55.922,47;;;;
1;427;08/04/2021;R$ 119,09;R$ 18.791,21;;;;
1;435;08/04/2021;R$ 16.552,34;R$ 152.257,59;;;;
1;443;08/04/2021;R$ 2.126,88;R$ 69.612,50;;;;
2;426;08/04/2021;R$ 1.298,63;R$ 11.316,66;;;;
2;430;08/04/2021;R$ 0;R$ 0,00;;;;
2;434;08/04/2021;R$ 1.450,81;R$ 6.873,72;;;;
3;412;08/04/2021;R$ 5.145,75;R$ 329.821,11;;;;
3;420;08/04/2021;R$ 3.854,56;R$ 179.441,08;;;;
3;422;08/04/2021;R$ 128,81;R$ 8.006,81;;;;
3;424;08/04/2021;R$ 3.347,84;R$ 118.485,57;;;;
3;445;08/04/2021;R$ 504,74;R$ 29.014,23;;;;
4;416;08/04/2021;R$ 3.810,49;R$ 100.662,92;;;;
4;425;08/04/2021;R$ 407,25;R$ 56.249,84;;;;
7;435;08/04/2021;R$ 20.559,96;R$ 190.717,82;;;;
7;445;08/04/2021;R$ 495,27;R$ 24.534,30;;;;
8;424;08/04/2021;R$ 4.745,91;R$ 102.486,98;;;;
8;432;08/04/2021;R$ 22,15;R$ 114,03;;;;
9;416;08/04/2021;R$ 5.781,36;R$ 124.520,66;;;;
9;423;08/04/2021;R$ 2.054,94;R$ 119.924,62;;;;
9;426;08/04/2021;R$ 1.537,05;R$ 34.451,12;;;;
9;443;08/04/2021;R$ 2.072,01;R$ 65.008,73;;;;
9;444;08/04/2021;R$ 129,94;R$ 4.152,79;;;;
10;435;08/04/2021;R$ 13.193,66;R$ 206.204,35;;;;
10;441;08/04/2021;R$ 291,72;R$ 24.139,04;;;;
11;436;08/04/2021;R$ 22.708,87;R$ 543.442,38;;;;
12;424;08/04/2021;R$ 1.626,67;R$ 99.345,01;;;;
12;425;08/04/2021;R$ 923,23;R$ 43.952,10;;;;
12;445;08/04/2021;R$ 108,45;R$ 15.977,26;;;;
14;413;08/04/2021;R$ 7.719,14;R$ 374.693,20;;;;
14;422;08/04/2021;R$ 36,22;R$ 7.825,43;;;;
14;430;08/04/2021;R$ 0;R$ 0,00;;;;
14;436;08/04/2021;R$ 17.459,77;R$ 444.789,10;;;;
14;445;08/04/2021;R$ 530,08;R$ 21.997,70;;;;
