FILIAL;SECAO;DATA;TOTAL
4;433;09/04/2021;R$23199,07;
7;411;09/04/2021;R$35004,84;
7;434;09/04/2021;R$11353,51;
8;432;09/04/2021;R$164,5;
8;440;09/04/2021;R$3861,32;
8;441;09/04/2021;R$556,53;
8;445;09/04/2021;R$1061,52;
9;414;09/04/2021;R$10396,89;
10;415;09/04/2021;R$3166,29;
10;416;09/04/2021;R$7948,6;
10;432;09/04/2021;R$215,55;
10;433;09/04/2021;R$26724,24;
11;414;09/04/2021;R$9557,97;
11;417;09/04/2021;R$0;
11;427;09/04/2021;R$799,59;
11;428;09/04/2021;R$8188,55;
12;411;09/04/2021;R$18287,69;
12;412;09/04/2021;R$2367,89;
12;426;09/04/2021;R$1309,73;
14;413;09/04/2021;R$19088,12;
14;421;09/04/2021;R$16233,75;
14;424;09/04/2021;R$5858,24;
14;426;09/04/2021;R$2581,42;
14;444;09/04/2021;R$588,15;
16;424;09/04/2021;R$6399,77;
16;427;09/04/2021;R$410,34;
16;431;09/04/2021;R$5980,01;
16;441;09/04/2021;R$536,2;
17;423;09/04/2021;R$3540,23;
18;428;09/04/2021;R$8321;
1;425;10/04/2021;R$3019,63;
1;441;10/04/2021;R$482,82;
1;445;10/04/2021;R$1018,87;
2;433;10/04/2021;R$32317,86;
2;434;10/04/2021;R$9578,62;
2;435;10/04/2021;R$50743,2;
3;417;10/04/2021;R$0;
3;423;10/04/2021;R$6692,95;
3;442;10/04/2021;R$0;
4;425;10/04/2021;R$1559,49;
4;441;10/04/2021;R$640,57;
4;444;10/04/2021;R$1102,13;
7;423;10/04/2021;R$4654,29;
7;424;10/04/2021;R$8487,52;
7;427;10/04/2021;R$1113;
7;445;10/04/2021;R$1590,17;
9;414;10/04/2021;R$12121,32;
9;433;10/04/2021;R$43187,44;
10;433;10/04/2021;R$42149,22;
10;434;10/04/2021;R$12348,44;
10;435;10/04/2021;R$69691,25;
10;441;10/04/2021;R$1064,58;
11;416;10/04/2021;R$9645,01;
11;420;10/04/2021;R$3848,62;
11;421;10/04/2021;R$20026,87;
11;424;10/04/2021;R$7125,43;
11;435;10/04/2021;R$50626,87;
11;443;10/04/2021;R$4200,49;
12;412;10/04/2021;R$4200,83;
12;433;10/04/2021;R$24963,69;
14;416;10/04/2021;R$11616,95;
14;421;10/04/2021;R$19963,85;
14;427;10/04/2021;R$1318,66;
14;445;10/04/2021;R$1081,3;
15;411;10/04/2021;R$41961,62;
15;426;10/04/2021;R$4270,73;
15;433;10/04/2021;R$48432,41;
15;434;10/04/2021;R$13713,48;
15;435;10/04/2021;R$68827,33;
15;436;10/04/2021;R$68793,04;
15;443;10/04/2021;R$5492,51;
15;444;10/04/2021;R$1660,42;
16;420;10/04/2021;R$6875,82;
16;423;10/04/2021;R$5854,49;
16;428;10/04/2021;R$12287,25;
16;436;10/04/2021;R$60766,89;
17;421;10/04/2021;R$20930,33;
17;431;10/04/2021;R$5507,72;
17;436;10/04/2021;R$49699,93;
18;415;10/04/2021;R$3068,81;
18;420;10/04/2021;R$2314,36;
18;427;10/04/2021;R$783,43;
1;412;11/04/2021;R$0;
1;432;11/04/2021;R$0;
2;412;11/04/2021;R$0;
2;414;11/04/2021;R$0;
2;416;11/04/2021;R$0;
2;431;11/04/2021;R$0;
2;435;11/04/2021;R$0;
3;413;11/04/2021;R$0;
3;414;11/04/2021;R$0;
3;424;11/04/2021;R$0;
3;445;11/04/2021;R$0;
4;411;11/04/2021;R$0;
4;427;11/04/2021;R$0;
4;436;11/04/2021;R$0;
7;414;11/04/2021;R$0;
7;423;11/04/2021;R$0;
7;425;11/04/2021;R$0;
